DATE,output_gap,core_cpi,fed_funds_rate
1970-01-01,-0.108421271221739,6.916756749,8.57333333333333
1970-04-01,-0.793540803324701,7.010862737,7.88666666666667
1970-07-01,-0.67343494618534,7.107599958,6.70666666666667
1970-10-01,-2.49139223428573,7.284990029,5.56666666666667
1971-01-01,-0.606115631308484,6.312203513,3.85666666666667
1971-04-01,-0.839127301417561,5.235265336,4.56666666666667
1971-07-01,-0.799617078770931,4.95166405333333,5.47666666666667
1971-10-01,-1.34364801366605,4.03264667533333,4.75
1972-01-01,-0.32389355736342,3.899723478,3.54666666666667
1972-04-01,1.12729111683781,3.79198984766667,4.3
1972-07-01,1.26335603172643,3.333424178,4.74333333333333
1972-10-01,2.12598968196767,3.25974059733333,5.14666666666667
1973-01-01,3.79412829141569,2.88947826466667,6.53666666666667
1973-04-01,4.02898654326196,3.10718568733333,7.81666666666667
1973-07-01,2.59608734023254,3.433423066,10.56
1973-10-01,2.67105285216393,5.01138423366667,9.99666666666667
1974-01-01,0.901242542659874,6.330956607,9.32333333333333
1974-04-01,0.262078582589176,7.83678543833333,11.25
1974-07-01,-1.53108949745756,10.1015944566667,12.09
1974-10-01,-2.72900160745803,11.0453030253333,9.34666666666667
1975-01-01,-4.68414581888807,11.6922695686667,6.30333333333333
1975-04-01,-4.75061588966658,11.0452752866667,5.42
1975-07-01,-3.86249422177007,9.09355376433333,6.16
1975-10-01,-3.30959064732945,8.00185584466667,5.41333333333333
1976-01-01,-1.88020350150529,7.51851740533333,4.82666666666667
1976-04-01,-1.91346313667353,6.94692641733333,5.19666666666667
1976-07-01,-2.14330080991953,7.22391793666667,5.28333333333333
1976-10-01,-2.2075777559316,6.58778100533333,4.87333333333333
1977-01-01,-1.84843848967974,6.07931038233333,4.66
1977-04-01,-0.757733747755027,6.75788711366667,5.15666666666667
1977-07-01,0.201879387103805,6.87299151433333,5.82
1977-10-01,-0.63561730128962,7.12016880666667,6.51333333333333
1978-01-01,-1.16849700780273,7.406320249,6.75666666666667
1978-04-01,1.76557195388083,7.60344312466667,7.28333333333333
1978-07-01,1.8866633187927,8.249611949,8.1
1978-10-01,2.34105200416241,9.12369844933333,9.58333333333333
1979-01-01,1.59935422492545,9.453212684,10.0733333333333
1979-04-01,0.827871355783714,10.105619862,10.18
1979-07-01,0.688778739089817,10.8260578943333,10.9466666666667
1979-10-01,0.193033881714485,11.9977103373333,13.5766666666667
1980-01-01,-0.174352878150306,13.8294710823333,15.0466666666667
1980-04-01,-2.8278131438863,15.2482058346667,12.6866666666667
1980-07-01,-3.46929432644066,13.543110816,9.83666666666667
1980-10-01,-2.22843980775495,12.9279973533333,15.8533333333333
1981-01-01,-0.934688266036428,11.233839167,16.57
1981-04-01,-2.32285759360661,9.54956250233333,17.78
1981-07-01,-1.842342200882,11.7966453326667,17.5766666666667
1981-10-01,-3.61879470492802,10.5793145066667,13.5866666666667
1982-01-01,-5.82598236527991,9.32917841666667,14.2266666666667
1982-04-01,-6.11593899551093,9.03561261333333,14.5133333333333
1982-07-01,-7.19493429874133,7.08914569866667,11.0066666666667
1982-10-01,-7.88096385909115,5.28257122,9.28666666666667
1983-01-01,-7.38777710474609,4.72641572233333,8.65333333333333
1983-04-01,-6.0235128244415,3.616765647,8.80333333333333
1983-07-01,-4.9128071024211,2.70938691466667,9.46
1983-10-01,-3.73228797006591,3.77019533733333,9.43
1984-01-01,-2.76574071507223,4.55482827566667,9.68666666666667
1984-04-01,-1.94771760597047,4.71395952066667,10.5566666666667
